영어,Day,형용사,동사,명사,전치사,부사
annual,1,"연례의, 매년의",,,,
rental,1,,,"대여, 임대",,
proceeds,1,,,수익(금),,
deliver,1,,"배송하다, 배달하다, 전달하다, (연설이나 강연 등을) 하다",,,
refund,1,,환불하다 ,환불,,
enclose,1,,"동봉하다, 둘러싸다",,,
vibrant,1,활기찬,,,,
previous,1,"이전의, 사전의",,,,
exceptional,1,"특별한, 예외적인",,,,
valuable,1,"소중한, 가치 있는, 귀중한",,,,
insight,1,,,"식견, 통찰(력)",,
toss,1,,"던져 넣다, 던지다",,,
register,1,,"등록하다, 기록하다, 알아채다",계산대 ,,
abandon,1,,"포기하다, 버리다",,,
reassure,1,,안심시키다,,,
overwhelm,1,,"몹시 감격하게 하다, 압도하다",,,
barefoot,1,맨발의,,,,맨발로 a. 맨발의
moss,1,,,이끼,,
patch,1,,,"조각, 부분",,
hum,1,,"콧노래를 부르다, 윙윙거리다",윙윙거리는 소리 ,,
wander,1,,"(마음이나 생각이) 산만해지다, 떠돌다, 돌아다니다",,,
sculpture,1,,,"조각품, 조각상",,
exhibition,1,,,전시회,,
appreciate,1,,"감상하다, 이해하다, 인정하다, 감사하다",,,
explore,1,,"탐구하다, 둘러보다, 탐험하다, 답사하다",,,
unconsciousness,1,,,무의식,,
shallow,1,"얕은, 피상적인",,,,
eyelid,1,,,눈꺼풀,,
astonishment,1,,,놀라움,,
presence,1,,,"있음, 존재함, 존재감",,
prevalence,2,,,"널리 퍼짐, 유행, 보급",,
packaging,2,,,"포장재, 포장",,
coin,2,,(새로운 낱말이나 어구를) 만들다 ,동전,,
adverse,2,"부정적인, 불리한",,,,
shrink,2,,"줄어들다, 작아지다",,,
interpret,2,,"해석하다, 설명하다",,,
express,2,,표현하다,,,
compliment,2,,칭찬하다,칭찬 ,,
positive,2,"긍정적인, 확신하는, 양성의",,,,
duration,2,,,"지속[소요] 시간, 지속 (상태)",,
subsequent,2,"그다음의, 그 이후의, 뒤의",,,,
gloomy,2,우울한,,,,
continuous,2,"계속되는, (계속) 이어지는, 지속적인",,,,
define,2,,"규정하다, 정의하다",,,
impose,2,,"부여하다, 시행하다, 부과하다",,,
urge,2,,"권고하다, 촉구하다","욕구, 충동 ",,
variation,2,,,"변화, 차이",,
overcome,2,,극복하다,,,
address,2,,"다루다, 해결하다, 처리하다 ",주소,,
prompt,2,,"유도하다, 촉발하다, 자극하다","촉진제, 프롬프트 ",,
comfy,2,편안한,,,,
luxury,2,,,"호사, 사치(품), 만족",,
toolkit,2,,,"도구, 도구 세트",,
promote,2,,"증진하다, 촉진하다, 홍보하다, 승진시키다",,,
tackle,2,,"다루다, 처리하다",,,
ethical,2,윤리적인,,,,
crisis,2,,,위기,,
contradict,2,,"어긋나다, 모순되다, 반박하다",,,
adaptation,2,,,"적응(력), 순응",,
frustration,2,,,좌절,,
approximation,3,,,"근사치, 근접",,
discourse,3,,,"담론, 담화",,
pollster,3,,,"여론 조사원, 여론 조사 기관",,
methodology,3,,,방법론,,
tolerate,3,,"용인하다, 참다",,,
pen,3,,,"(가축의) 우리, 펜",,
domestication,3,,,가축화,,
breed,3,,"사육하다, 번식하다",,,
blend,3,,"혼합하다, 섞다 ","조합, 혼합",,
acknowledgment,3,,,"인정, 시인",,
considerable,3,상당한,,,,
derivative,3,파생적인,,,,
impulse,3,,,"충동, 자극",,
deliberate,3,"의도적인, 신중한 ",숙고하다,,,
reflective,3,"성찰적인, 숙고하는",,,,
reverse,3,반대의,"되돌리다, 거꾸로 하다, 뒤집다 ",반대 ,,
detect,3,,"감지하다, 탐지하다, 발견하다",,,
intensive,3,"집약적인, 집중적인",,,,
instantaneous,3,즉각적인,,,,
respective,3,"각각의, 각자의",,,,
portray,3,,"묘사하다, 표현하다, 연기하다",,,
depict,3,,"묘사하다, 그리다",,,
crucial,3,"매우 중요한, 결정적인",,,,
barrier,3,,,장벽,,
favor,3,,"선호하다, 찬성하다 ","부탁, 호의, 친절",,
stereotype,3,,고정 관념을 형성하다,고정 관념 ,,
evaluate,3,,평가하다,,,
impression,3,,,인상,,
maintain,3,,"유지하다, 주장하다",,,
numerous,3,"수많은, 다수의",,,,
costly,4,"대가가 큰, 많은 비용이 드는, 값비싼",,,,
humiliation,4,,,"굴욕, 수치심",,
elimination,4,,,"제거, 배제",,
emergence,4,,,"등장, 출현",,
consequence,4,,,"결과, 영향(력)",,
exclusion,4,,,"배제, 제외",,
analysis,4,,,분석,,
motive,4,,,동기,,
demonstrate,4,,"설명하다, 보여 주다, 입증하다",,,
construct,4,,"지어 주다, 건설하다 ",구성체,,
